0	1616.82		277.02		152.98		1241.59		8903.54		108996.62		
1	1560.45		175.25		380.84		666.53		948.13		39.44		
2	1379.3		146.1		323.55		642.84		755.58		10.6		
3	867.84		203.46		223.04		447.1		6631.03		64040.15		
4	9377.38		2413.84		113.49		71.85		20522.24		204722.73		
5	399.26		132.53		102.52		285.92		4855.87		46720.46		
6	19658.93		2850.96		582.64		24.7		18996.8		0.8		
7	215.5		4.04		133.53		21.36		187.09		22.45		
8	1008.36		145.85		390.88		18.96		356.15		23.96		
9	799.96		90.29		110.78		289.33		304.57		0.49		
10	93.9		71.12		19.25		57.05		86.21		0.09		
11	91.57		0.41		86.1		0.44		75.55		165.32		
12	1592.25		313.25		711.09		39.87		1576.07		82.3		
13	2186.79		1294.86		245.44		21.14		1424.64		7.47		
14	226.02		0.0		226.02		6.01		195.45		312.7		
15	1036.42		394.93		275.31		289.92		780.65		15.8		
16	1035.03		270.3		379.52		151.96		863.21		81.1		
17	387.49		136.48		209.83		591.81		328.45		14.03		
18	884.86		136.78		399.23		702.32		830.78		18.96		
19	481.73		53.04		253.87		102.76		4442.77		21735.97		
20	529.33		529.33		432.68		6534.15		469.01		304.6		
21	943.71		207.99		362.88		1081.53		677.2		9.36		
22	1031.26		244.45		293.43		341.22		986.11		181.36		
23	57.25		57.25		3.12		29.7		42.95		80550.73		
24	532.64		11.05		211.93		10.39		452.07		3.37		
25	93.66		8.36		33.82		7.66		93.31		20.24		
26	2907.77		644.89		1534.8		717.79		2156.96		8.34		
27	26.52		15.01		3.98		18.09		14.67		20.94		
28	758.04		13.89		346.77		14.59		563.74		26.46		
29	1665.94		469.96		58.65		0.91		1406.64		40.01		
30	87.84		0.63		54.58		1.17		3282.45		43496.09		
31	792.95		414.54		77.46		68.63		637.63		23.94		
32	590.38		198.26		124.93		32.58		560.16		23.86		
33	16.53		4.83		9.07		7.55		13.45		0.47		
34	956.5		59.84		232.68		13.33		578.07		69.13		
35	3245.58		991.32		2162.82		1139.07		3235.7		25.26		
36	4.98		0.03		5.0		0.01		4.85		25.22		
37	649.23		0.07		362.83		3.95		304.99		77.21		
38	898.22		76.83		240.77		27.62		725.88		7.74		
39	175.33		0.04		151.22		0.27		175.3		37.85		
40	912.81		153.32		397.35		14.49		426.84		288.0		
41	395.83		28.06		190.61		87.08		393.67		128.26		
42	785.0		102.42		267.93		421.35		711.08		7.4		
43	77.41		1.12		58.06		1.78		74.36		4.79		
44	202.66		35.61		35.42		4.39		61.58		72.72		
45	1035.24		66.59		195.23		7.44		581.63		77.53		
46	46.16		20.73		15.53		1.08		46.16		9.68		
47	962.96		183.65		257.2		43.0		945.62		123.55		
48	29.37		13.7		8.36		2.74		11.18		1.2		
49	77.64		0.01		47.04		21.97		7.07		17.6		
50	4507.96		1596.18		1752.52		1.93		3831.44		91.45		
51	0.59		0.67		0.08		0.0		0.73		24.13		
52	466.56		9.67		366.06		15.1		385.48		19.58		
53	7870.36		2206.88		122.47		2.16		4164.18		23.5		
54	955.3		26.52		793.79		1.55		955.31		90.64		
55	3327.13		948.11		137.85		0.02		1711.85		37.96		
56	1159.18		392.12		365.67		325.66		985.24		41.33		
57	19.28		1.01		7.53		9.41		10.21		52.36		
58	508.6		0.0		361.64		6.0		188.66		173.37		
59	86.17		3.15		47.51		14.97		56.94		2.91		
60	751.74		254.43		147.58		29.66		708.46		115.79		
61	635.79		103.24		355.47		19.47		635.79		8.77		
62	293.3		112.86		83.63		0.1		246.96		8.09		
63	5.26		0.97		3.1		1.43		4.73		0.11		
64	974.14		243.34		276.63		7.51		944.36		174.12		
65	1933.27		410.24		573.56		28.58		1438.64		50.65		
66	2916.21		1021.97		182.98		261.84		1534.37		39.63		
67	392.95		223.16		22.24		3.6		349.31		48.03		
68	292.78		65.26		100.88		31.89		275.26		96.88		
69	2422.97		465.12		1227.07		5.02		2414.02		11.11		
70	852.75		228.06		186.28		382.52		851.59		100.58		
71	2602.64		512.28		1375.54		13.23		2602.64		4.11		
72	46.03		0.01		38.43		2.79		37.53		2.8		
73	56.52		2.61		24.91		0.15		36.8		41.77		
74	95.01		3.38		38.83		5.17		69.26		20.52		
75	451.63		80.8		308.68		0.51		451.63		13.29		
76	157.94		0.05		121.37		0.39		27.02		100.22		
77	394.23		39.0		191.41		6.23		376.13		16.01		
78	7.01		6.75		0.64		7.06		12.35		20.87		
79	1.69		0.37		1.34		0.0		1.69		27.5		
80	3000.69		1963.22		793.72		27.21		2962.0		48.28		
81	464.83		13.05		256.96		16.21		459.16		79.59		
82	29.92		8.88		3.06		19.7		29.92		0.29		
83	873.07		24.0		441.44		0.99		798.05		60.32		
84	684.22		1.22		296.79		5.77		446.49		15.58		
85	31.79		3.97		16.08		1.0		20.65		28.92		
86	743.25		165.97		298.31		15.3		603.51		0.85		
87	207.92		12.67		86.75		10.17		202.84		17.82		
88	26.29		10.73		14.27		7.84		21.97		0.36		
89	3013.31		1279.41		770.8		9.48		2450.38		39.45		
90	102.58		54.92		40.83		21.92		89.47		13.34		
91	0.17		0.01		0.16		0.07		6.51		5.89		
92	22.6		1.78		7.73		6.73		20.1		54.3		
